38 Provinsi,IPM,P0,P1,P2,GK,GR,PCA1,PCA2,Klaster
ACEH,0.7073656270736564,0.3380714560122935,0.22222222222222224,0.16549295774647887,0.2819352309650205,0.28301886792452846,-0.003133972147470052,-0.19749399672506945,2
SUMATERA UTARA,0.7153284671532845,0.1467537456780638,0.06878306878306878,0.049295774647887314,0.2862376152892687,0.3254716981132073,-0.23840756581872044,-0.16664693130668284,2
SUMATERA BARAT,0.7418712674187127,0.07260852862082212,0.06349206349206349,0.059859154929577454,0.366704762851251,0.3113207547169812,-0.27686737501558545,-0.21874109446990125,2
RIAU,0.7100199071001994,0.11064156742220513,0.05423280423280423,0.0352112676056338,0.32643875210150153,0.42452830188679247,-0.24391636007988016,-0.10899313804835786,2
JAMBI,0.6708692767086926,0.13330772185939296,0.05952380952380952,0.0352112676056338,0.28020433910021225,0.3632075471698113,-0.235128999063244,-0.14144785164445825,2
SUMATERA SELATAN,0.6585932315859324,0.24702266615443716,0.15343915343915343,0.11619718309859153,0.13554235992060537,0.39622641509433953,-0.10091787943044445,-0.03763645987390177,2
BENGKULU,0.6891174518911747,0.32500960430272763,0.1706349206349206,0.09507042253521125,0.2776563116820018,0.5896226415094341,-0.0012548707268897892,0.05349593946009233,0
LAMPUNG,0.6327140013271402,0.23972339608144447,0.11243386243386241,0.0669014084507042,0.17007461883110975,0.3443396226415092,-0.1428214542994467,-0.10278649427386718,2
KEPULAUAN BANGKA BELITUNG,0.675182481751825,0.05186323472915866,0.03571428571428571,0.0352112676056338,0.6647232091342503,0.0,-0.29710180390057994,-0.6469549487251192,2
KEPULAUAN RIAU,0.8500331785003317,0.032270457164809835,0.0291005291005291,0.0352112676056338,0.49675768342070614,0.8066037735849056,-0.24332968518528855,0.13765403252680328,0
DKI JAKARTA,1.0,0.023434498655397623,0.01455026455026455,0.017605633802816902,0.5340670989755438,0.9858490566037736,-0.2737211681914544,0.29445254883426236,0
JAWA BARAT,0.6964167219641673,0.1290818286592393,0.10052910052910052,0.07746478873239436,0.08924031238871366,0.8632075471698115,-0.14243751764840318,0.37423019835290405,0
JAWA TENGAH,0.65892501658925,0.22935074913561274,0.14947089947089948,0.10211267605633802,0.08285091969158653,0.641509433962264,-0.08034454363638885,0.19132248967482815,0
DI YOGYAKARTA,0.9147312541473127,0.25585862466384934,0.1865079365079365,0.14788732394366194,0.19115036674479147,0.9433962264150944,-0.03498110417046608,0.43096128848654647,0
JAWA TIMUR,0.7040477770404778,0.22589320015366884,0.12037037037037038,0.07394366197183098,0.10238211577375289,0.6839622641509433,-0.11347520241538304,0.22517023101373312,0
BANTEN,0.7412076974120771,0.0802919708029197,0.08597883597883599,0.09507042253521125,0.28219058582545875,0.46226415094339623,-0.2305747562342639,-0.05065756662733585,2
BALI,0.8115461181154613,0.0,0.026455026455026454,0.028169014084507043,0.1823923851800321,0.5613207547169812,-0.36135037076093335,0.09731170374275913,2
NUSA TENGGARA BARAT,0.6323822163238222,0.3058009988474837,0.1574074074074074,0.09507042253521125,0.08973307825453225,0.7075471698113207,-0.010808463635007017,0.2389381707326499,0
NUSA TENGGARA TIMUR,0.49701393497013946,0.5409143296196696,0.332010582010582,0.24295774647887322,0.07205976131912184,0.509433962264151,0.2862163465776163,0.06291720132729546,0
KALIMANTAN BARAT,0.5700066357000666,0.09796388782174412,0.046296296296296294,0.0352112676056338,0.19513804345725638,0.44339622641509435,-0.22680475043299167,-0.051443415987687036,2
KALIMANTAN TENGAH,0.6619110816191109,0.05839416058394162,0.03042328042328042,0.021126760563380278,0.2385400879524957,0.33018867924528283,-0.311323598580475,-0.14989345453492026,2
KALIMANTAN SELATAN,0.7030524220305239,0.011909335382251252,0.023809523809523822,0.04225352112676056,0.23978649573074284,0.3160377358490567,-0.349590503293613,-0.1560056115297308,2
KALIMANTAN TIMUR,0.8122096881220968,0.06799846331156359,0.05952380952380952,0.04577464788732394,0.5340546763066578,0.4528301886792452,-0.25287975353436926,-0.17850556498466685,2
KALIMANTAN UTARA,0.6347047113470472,0.07875528236650017,0.0,0.0,0.5836294069417873,0.17452830188679247,-0.281149643113587,-0.4669913804153192,2
SULAWESI UTARA,0.7103516921035169,0.12293507491356129,0.08333333333333334,0.0528169014084507,0.06413409856973673,0.5990566037735849,-0.2284129097867042,0.174796127029266,0
SULAWESI TENGAH,0.5942269409422694,0.27276219746446406,0.13227513227513224,0.08098591549295775,0.21235172164387794,0.2971698113207548,-0.09506063072397254,-0.17109784959497246,2
SULAWESI SELATAN,0.6970802919708028,0.15405301575105643,0.12169312169312169,0.09154929577464788,0.005675779384442969,0.641509433962264,-0.17119483514820832,0.23827811565946838,0
SULAWESI TENGGARA,0.6416721964167218,0.2581636573184787,0.1626984126984127,0.10915492957746478,0.01182223989001796,0.6745283018867925,-0.05423838516264137,0.25378326951465274,0
GORONTALO,0.5875912408759127,0.3534383403764886,0.2671957671957672,0.19718309859154928,0.012138327798344228,0.7971698113207548,0.13767045732088912,0.3439966855923102,0
SULAWESI BARAT,0.5391506303915063,0.2597003457548982,0.21031746031746032,0.17253521126760563,0.0,0.44339622641509435,-0.013260435120483267,0.04890359968713529,0
MALUKU,0.6363636363636367,0.45447560507107176,0.3650793650793651,0.3274647887323944,0.3950601947322363,0.27830188679245293,0.2552199885103424,-0.27685009890223133,2
MALUKU UTARA,0.5842733908427338,0.08336534767575873,0.04894179894179894,0.05633802816901408,0.25086337548758975,0.28773584905660377,-0.25038876393195003,-0.2069715632296893,2
PAPUA BARAT,0.45023224950232255,0.6208221283134844,0.3134920634920635,0.18661971830985913,0.49384939860479626,0.7971698113207548,0.4518666193486789,0.06649295535261768,0
PAPUA BARAT DAYA,0.5189117451891172,0.5409143296196696,0.3743386243386243,0.3028169014084507,0.4759414312570913,0.6933962264150944,0.4394541951519374,-0.0006651195241648713,0
PAPUA,0.6562707365627074,0.5532078371110257,0.4272486772486772,0.3380281690140845,0.31177310133309044,0.8632075471698115,0.4440216326042564,0.2535464218091111,0
PAPUA SELATAN,0.48540145985401484,0.6085286208221283,0.48809523809523814,0.37676056338028174,0.10547950121604133,1.0,0.5736500466659064,0.442999041984993,0
PAPUA TENGAH,0.1901128069011282,0.9999999999999999,1.0,0.9999999999999999,0.5010435041864394,0.5943396226415096,1.4380962095457346,-0.16447027443511483,1
PAPUA PEGUNUNGAN,0.0,0.913945447560507,0.7420634920634921,0.5845070422535211,1.0,0.6273584905660377,1.2386818054634858,-0.43499720594823577,1
