38 Provinsi,IPM,P0,P1,P2,GK,GR
ACEH,76.23,12.22,2.06,0.52,715103,0.274
SUMATERA UTARA,76.47,7.24,0.9,0.19,718220,0.283
SUMATERA BARAT,77.27,5.31,0.86,0.22,776517,0.28
RIAU,76.31,6.3,0.79,0.15,747345,0.304
JAMBI,75.13,6.89,0.83,0.15,713849,0.291
SUMATERA SELATAN,74.76,9.85,1.54,0.38,609044,0.298
BENGKULU,75.68,11.88,1.67,0.32,712003,0.339
LAMPUNG,73.98,9.66,1.23,0.24,634062,0.287
KEPULAUAN BANGKA BELITUNG,75.26,4.77,0.65,0.15,992426,0.214
KEPULAUAN RIAU,80.53,4.26,0.6,0.15,870738,0.385
DKI JAKARTA,85.05,4.03,0.49,0.1,897768,0.423
JAWA BARAT,75.9,6.78,1.14,0.27,575499,0.397
JAWA TENGAH,74.77,9.39,1.51,0.34,570870,0.35
DI YOGYAKARTA,82.48,10.08,1.79,0.47,649331,0.414
JAWA TIMUR,76.13,9.3,1.29,0.26,585020,0.359
BANTEN,77.25,5.51,1.03,0.32,715288,0.312
BALI,79.37,3.42,0.58,0.13,642986,0.333
NUSA TENGGARA BARAT,73.97,11.38,1.57,0.32,575856,0.364
NUSA TENGGARA TIMUR,69.89,17.5,2.89,0.74,563052,0.322
KALIMANTAN BARAT,72.09,5.97,0.73,0.15,652220,0.308
KALIMANTAN TENGAH,74.86,4.94,0.61,0.11,683664,0.284
KALIMANTAN SELATAN,76.1,3.73,0.56,0.17,684567,0.281
KALIMANTAN TIMUR,79.39,5.19,0.83,0.18,897759,0.31
KALIMANTAN UTARA,74.04,5.47,0.38,0.05,933675,0.251
SULAWESI UTARA,76.32,6.62,1.01,0.2,557310,0.341
SULAWESI TENGAH,72.82,10.52,1.38,0.28,664691,0.277
SULAWESI SELATAN,75.92,7.43,1.3,0.31,514958,0.35
SULAWESI TENGGARA,74.25,10.14,1.61,0.36,519411,0.357
GORONTALO,72.62,12.62,2.4,0.61,519640,0.383
SULAWESI BARAT,71.16,10.18,1.97,0.54,510846,0.308
MALUKU,74.09,15.25,3.14,0.98,797060,0.273
MALUKU UTARA,72.52,5.59,0.75,0.21,692592,0.275
PAPUA BARAT,68.48,19.58,2.75,0.58,868631,0.383
PAPUA BARAT DAYA,70.55,17.5,3.21,0.91,855657,0.361
PAPUA,74.69,17.82,3.61,1.01,736720,0.397
PAPUA SELATAN,69.54,19.26,4.07,1.12,587264,0.426
PAPUA TENGAH,60.64,29.45,7.94,2.89,873843,0.34
PAPUA PEGUNUNGAN,54.91,27.21,5.99,1.71,1235328,0.347
