38 Provinsi,,,,,,,,,
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,178074,186630,-,151774,156894,-,161172,167592,-
SUMATERA UTARA,169845,184548,-,138605,142859,-,156675,167127,-
SUMATERA BARAT,194047,202122,-,156334,163220,-,176073,183606,-
RIAU,215175,228736,-,168483,177185,-,187311,198134,-
JAMBI,186813,196646,-,150549,158501,-,162702,171383,-
SUMATERA SELATAN,159166,166633,-,136419,140814,-,145063,150682,-
BENGKULU,193922,201933,-,173408,179562,-,180345,187058,-
LAMPUNG,172636,174106,-,145076,148711,-,154573,157512,-
KEP. BANGKA BELITUNG,255303,263730,-,242364,265075,-,250000,264271,-
KEP. RIAU,267063,273935,-,200721,207587,-,262278,268390,-
DKI JAKARTA,260835,275593,-,-,-,-,260835,275593,-
JAWA BARAT,138921,146219,-,132038,140211,-,137609,145077,-
JAWA TENGAH,132289,139737,-,127821,136102,-,130236,138082,-
DI YOGYAKARTA,178655,187115,-,139161,141141,-,169142,176261,-
JAWA TIMUR,137590,141739,-,125191,132113,-,132310,137688,-
BANTEN,190454,195185,-,158356,167060,-,184707,190610,-
BALI,196406,205898,-,166316,174384,-,188528,197761,-
NUSA TENGGARA BARAT,137924,143486,-,130465,134443,-,134419,139263,-
NUSA TENGGARA TIMUR,189134,194624,-,112553,116194,-,133306,137702,-
KALIMANTAN BARAT,173568,180766,-,142374,148521,-,154386,161043,-
KALIMANTAN TENGAH,159655,165510,-,143096,151242,-,150440,157661,-
KALIMANTAN SELATAN,204684,211841,-,161190,172782,-,183328,192772,-
KALIMANTAN TIMUR,264524,276875,-,231799,247188,-,254609,268148,-
KALIMANTAN UTARA,236960,247083,-,223997,239221,-,232163,244407,-
SULAWESI UTARA,122389,129882,-,111027,114589,-,117495,123221,-
SULAWESI TENGAH,170353,177468,-,148765,160394,-,156066,166247,-
SULAWESI SELATAN,137262,144799,-,104002,111284,-,120023,127504,-
SULAWESI TENGGARA,146942,157136,-,109365,114868,-,123872,132561,-
GORONTALO,125213,131082,-,97850,100211,-,110686,114856,-
SULAWESI BARAT,100953,108126,-,105322,111717,-,104440,110954,-
MALUKU,215965,225936,-,192643,201950,-,203273,212835,-
MALUKU UTARA,183015,199370,-,142634,154556,-,154376,167778,-
PAPUA BARAT,271789,278842,-,184368,198466,-,211947,223958,-
PAPUA BARAT DAYA,237529,247990,-,191347,198182,-,217397,226062,-
PAPUA,255121,262971,-,180278,183717,-,225459,233919,-
PAPUA SELATAN,184596,190210,-,104172,107456,-,133319,137130,-
PAPUA TENGAH,339473,347784,-,144382,156589,-,191914,211685,-
PAPUA PEGUNUNGAN,328800,352318,-,265879,280808,-,270151,292523,-
INDONESIA,165760,173669,-,138855,145765,-,154861,162488,-
