38 Provinsi,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,0.329,0.316,-,0.224,0.225,-,0.282,0.274,-
SUMATERA UTARA,0.324,0.305,-,0.228,0.233,-,0.295,0.283,-
SUMATERA BARAT,0.307,0.301,-,0.232,0.236,-,0.282,0.28,-
RIAU,0.345,0.337,-,0.267,0.268,-,0.307,0.304,-
JAMBI,0.328,0.32,-,0.275,0.266,-,0.301,0.291,-
SUMATERA SELATAN,0.37,0.352,-,0.224,0.215,-,0.311,0.298,-
BENGKULU,0.424,0.411,-,0.269,0.267,-,0.349,0.339,-
LAMPUNG,0.319,0.312,-,0.261,0.265,-,0.292,0.287,-
KEP. BANGKA BELITUNG,0.232,0.224,-,0.199,0.191,-,0.222,0.214,-
KEP. RIAU,0.383,0.388,-,0.238,0.242,-,0.382,0.385,-
DKI JAKARTA,0.441,0.423,-,-,-,-,0.441,0.423,-
JAWA BARAT,0.426,0.408,-,0.323,0.308,-,0.416,0.397,-
JAWA TENGAH,0.39,0.381,-,0.306,0.296,-,0.359,0.35,-
DI YOGYAKARTA,0.434,0.419,-,0.334,0.337,-,0.426,0.414,-
JAWA TIMUR,0.383,0.376,-,0.326,0.319,-,0.369,0.359,-
BANTEN,0.335,0.314,-,0.221,0.234,-,0.33,0.312,-
BALI,0.352,0.338,-,0.277,0.269,-,0.353,0.333,-
NUSA TENGGARA BARAT,0.397,0.386,-,0.323,0.328,-,0.369,0.364,-
NUSA TENGGARA TIMUR,0.28,0.276,-,0.298,0.309,-,0.315,0.322,-
KALIMANTAN BARAT,0.348,0.341,-,0.267,0.267,-,0.316,0.308,-
KALIMANTAN TENGAH,0.31,0.311,-,0.272,0.256,-,0.292,0.284,-
KALIMANTAN SELATAN,0.304,0.292,-,0.248,0.252,-,0.287,0.281,-
KALIMANTAN TIMUR,0.316,0.3,-,0.287,0.325,-,0.312,0.31,-
KALIMANTAN UTARA,0.262,0.255,-,0.253,0.242,-,0.261,0.251,-
SULAWESI UTARA,0.343,0.338,-,0.332,0.339,-,0.343,0.341,-
SULAWESI TENGAH,0.305,0.312,-,0.249,0.24,-,0.279,0.277,-
SULAWESI SELATAN,0.373,0.363,-,0.333,0.315,-,0.363,0.35,-
SULAWESI TENGGARA,0.359,0.369,-,0.345,0.328,-,0.363,0.357,-
GORONTALO,0.389,0.378,-,0.376,0.359,-,0.392,0.383,-
SULAWESI BARAT,0.434,0.424,-,0.259,0.26,-,0.316,0.308,-
MALUKU,0.276,0.262,-,0.249,0.228,-,0.296,0.273,-
MALUKU UTARA,0.34,0.329,-,0.249,0.236,-,0.299,0.275,-
PAPUA BARAT,0.279,0.289,-,0.409,0.418,-,0.374,0.383,-
PAPUA BARAT DAYA,0.251,0.246,-,0.478,0.47,-,0.363,0.361,-
PAPUA,0.314,0.318,-,0.511,0.479,-,0.404,0.397,-
PAPUA SELATAN,0.326,0.317,-,0.418,0.431,-,0.412,0.426,-
PAPUA TENGAH,0.207,0.222,-,0.348,0.361,-,0.333,0.34,-
PAPUA PEGUNUNGAN,0.301,0.297,-,0.345,0.332,-,0.349,0.347,-
INDONESIA,0.395,0.383,-,0.299,0.295,-,0.375,0.363,-
