38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.19,1.22,-,2.2,2.53,-,1.84,2.06,-
SUMATERA UTARA,1.1,0.86,-,1.16,0.96,-,1.13,0.9,-
SUMATERA BARAT,0.57,0.41,-,0.92,1.36,-,0.74,0.86,-
RIAU,0.86,0.98,-,0.88,0.66,-,0.87,0.79,-
JAMBI,1.47,1.19,-,0.73,0.65,-,0.98,0.83,-
SUMATERA SELATAN,1.48,1.53,-,1.74,1.55,-,1.64,1.54,-
BENGKULU,1.74,1.81,-,1.87,1.61,-,1.83,1.67,-
LAMPUNG,0.87,0.77,-,1.89,1.47,-,1.54,1.23,-
KEP. BANGKA BELITUNG,0.44,0.41,-,0.94,1.01,-,0.65,0.65,-
KEP. RIAU,0.66,0.52,-,1.1,1.45,-,0.69,0.6,-
DKI JAKARTA,0.57,0.49,-,-,-,-,0.57,0.49,-
JAWA BARAT,1.14,1.15,-,1.29,1.08,-,1.17,1.14,-
JAWA TENGAH,1.46,1.53,-,1.67,1.48,-,1.56,1.51,-
DI YOGYAKARTA,1.59,2.01,-,1.6,1.1,-,1.59,1.79,-
JAWA TIMUR,1.04,0.96,-,1.91,1.74,-,1.41,1.29,-
BANTEN,0.86,1.03,-,0.81,1.03,-,0.85,1.03,-
BALI,0.56,0.47,-,0.55,0.88,-,0.56,0.58,-
NUSA TENGGARA BARAT,1.91,1.67,-,1.58,1.45,-,1.76,1.57,-
NUSA TENGGARA TIMUR,1.26,0.76,-,4.13,3.7,-,3.35,2.89,-
KALIMANTAN BARAT,0.73,0.49,-,0.95,0.88,-,0.86,0.73,-
KALIMANTAN TENGAH,0.92,0.58,-,0.76,0.64,-,0.83,0.61,-
KALIMANTAN SELATAN,0.42,0.66,-,0.53,0.45,-,0.47,0.56,-
KALIMANTAN TIMUR,0.78,0.59,-,1.1,1.39,-,0.88,0.83,-
KALIMANTAN UTARA,0.81,0.46,-,0.65,0.22,-,0.75,0.38,-
SULAWESI UTARA,0.76,0.59,-,1.58,1.55,-,1.11,1.01,-
SULAWESI TENGAH,1.18,1.04,-,2.74,1.56,-,2.21,1.38,-
SULAWESI SELATAN,0.9,1.08,-,1.85,1.52,-,1.4,1.3,-
SULAWESI TENGGARA,1.26,0.85,-,2.28,2.15,-,1.89,1.61,-
GORONTALO,0.49,0.54,-,3.26,4.05,-,1.96,2.4,-
SULAWESI BARAT,1.33,1.62,-,1.81,2.07,-,1.71,1.97,-
MALUKU,0.64,0.61,-,4.88,5.26,-,2.95,3.14,-
MALUKU UTARA,1.17,1,-,0.86,0.65,-,0.95,0.75,-
PAPUA BARAT,1.51,0.43,-,5.38,3.86,-,4.17,2.75,-
PAPUA BARAT DAYA,1.35,1.24,-,8.7,5.78,-,4.53,3.21,-
PAPUA,1.1,1,-,9.92,8.01,-,4.58,3.61,-
PAPUA SELATAN,0.49,0.89,-,6.42,5.96,-,4.23,4.07,-
PAPUA TENGAH,0.92,1.15,-,7.1,10.8,-,5.58,7.94,-
PAPUA PEGUNUNGAN,1.08,2.56,-,5.98,6.72,-,5.62,5.99,-
INDONESIA,1.06,1.04,-,1.81,1.66,-,1.37,1.29,-
