38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,0.26,0.24,-,0.51,0.68,-,0.42,0.52,-
SUMATERA UTARA,0.26,0.17,-,0.26,0.21,-,0.26,0.19,-
SUMATERA BARAT,0.14,0.07,-,0.19,0.38,-,0.16,0.22,-
RIAU,0.21,0.23,-,0.19,0.1,-,0.2,0.15,-
JAMBI,0.32,0.24,-,0.14,0.11,-,0.2,0.15,-
SUMATERA SELATAN,0.33,0.43,-,0.4,0.36,-,0.37,0.38,-
BENGKULU,0.32,0.35,-,0.4,0.31,-,0.38,0.32,-
LAMPUNG,0.16,0.13,-,0.44,0.3,-,0.34,0.24,-
KEP. BANGKA BELITUNG,0.08,0.07,-,0.21,0.25,-,0.14,0.15,-
KEP. RIAU,0.18,0.13,-,0.23,0.33,-,0.18,0.15,-
DKI JAKARTA,0.11,0.1,-,-,-,-,0.11,0.1,-
JAWA BARAT,0.28,0.28,-,0.31,0.22,-,0.29,0.27,-
JAWA TENGAH,0.34,0.36,-,0.37,0.31,-,0.35,0.34,-
DI YOGYAKARTA,0.35,0.55,-,0.33,0.21,-,0.34,0.47,-
JAWA TIMUR,0.22,0.19,-,0.4,0.36,-,0.29,0.26,-
BANTEN,0.22,0.32,-,0.17,0.29,-,0.21,0.32,-
BALI,0.13,0.1,-,0.09,0.22,-,0.12,0.13,-
NUSA TENGGARA BARAT,0.4,0.35,-,0.31,0.3,-,0.36,0.32,-
NUSA TENGGARA TIMUR,0.3,0.11,-,1.04,0.97,-,0.84,0.74,-
KALIMANTAN BARAT,0.15,0.14,-,0.19,0.16,-,0.18,0.15,-
KALIMANTAN TENGAH,0.22,0.1,-,0.17,0.13,-,0.19,0.11,-
KALIMANTAN SELATAN,0.09,0.28,-,0.1,0.06,-,0.1,0.17,-
KALIMANTAN TIMUR,0.22,0.11,-,0.24,0.35,-,0.22,0.18,-
KALIMANTAN UTARA,0.39,0.07,-,0.12,0.01,-,0.29,0.05,-
SULAWESI UTARA,0.18,0.12,-,0.36,0.31,-,0.26,0.2,-
SULAWESI TENGAH,0.3,0.29,-,0.77,0.28,-,0.61,0.28,-
SULAWESI SELATAN,0.21,0.28,-,0.47,0.35,-,0.35,0.31,-
SULAWESI TENGGARA,0.32,0.16,-,0.54,0.5,-,0.45,0.36,-
GORONTALO,0.1,0.09,-,0.75,1.07,-,0.44,0.61,-
SULAWESI BARAT,0.28,0.76,-,0.44,0.48,-,0.41,0.54,-
MALUKU,0.14,0.13,-,1.36,1.69,-,0.8,0.98,-
MALUKU UTARA,0.28,0.29,-,0.19,0.17,-,0.22,0.21,-
PAPUA BARAT,0.37,0.02,-,1.55,0.85,-,1.18,0.58,-
PAPUA BARAT DAYA,0.35,0.3,-,3.52,1.71,-,1.72,0.91,-
PAPUA,0.27,0.23,-,3.37,2.32,-,1.49,1.01,-
PAPUA SELATAN,0.07,0.21,-,1.77,1.66,-,1.14,1.12,-
PAPUA TENGAH,0.21,0.44,-,1.95,3.92,-,1.52,2.89,-
PAPUA PEGUNUNGAN,0.11,0.62,-,1.54,1.95,-,1.44,1.71,-
INDONESIA,0.25,0.25,-,0.43,0.39,-,0.32,0.3,-
